"ID";"Name";"Description";"Position";"Displayed";
"3";"Handloom & Textiles";"";"1";"1";
"4";"Handicrafts";"";"2";"1";
"5";"E-Shops";"Products to choose from number of stores.";"3";"1";
"6";"Odisha Tourism";"Come and explore the lavishing beauty of eastern India.";"4";"1";
